ID,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamine,Legalh,LSD,Meth,Mushrooms,Nicotine,Semer,VSA
283,45-54,Female,Masters degree,UK,White,35,40,47,49,48,0.19268,0.40148,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Week,Used over a Decade Ago,Used in Last Week,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
284,45-54,Male,University degree,UK,White,27,50,47,41,47,0.19268,0.40148,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
285,35-44,Male,Professional certificate/ diploma,Other,White,25,34,51,40,44,1.29221,-0.21575,Used in Last Year,Used in Last Decade,Used in Last Decade,Used in Last Year,Used in Last Day,Used in Last Decade,Used in Last Week,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Used in Last Day,Never Used,Never Used
286,35-44,Male,University degree,UK,White,27,48,41,41,44,-1.37983,-0.21575,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Never Used
287,45-54,Female,University degree,UK,White,38,30,45,34,41,-1.37983,-2.07848,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
288,45-54,Male,Masters degree,UK,White,39,42,43,46,35,-0.21712,-0.21575,Used in Last Year,Never Used,Never Used,Used in Last Decade,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
289,25-34,Male,"Some college or university, no certificate or degree",UK,White,42,42,41,41,42,-0.21712,-1.54858,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
290,25-34,Female,Masters degree,UK,White,19,44,41,53,49,-1.37983,-1.18084,Used in Last Month,Never Used,Used over a Decade Ago,Never Used,Used in Last Day,Used in Last Decade,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
291,35-44,Female,Professional certificate/ diploma,UK,Black,27,46,40,52,48,-1.37983,-1.54858,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
292,35-44,Female,"Some college or university, no certificate or degree",UK,White,42,32,49,38,39,-1.37983,-0.52593,Used in Last Week,Used over a Decade Ago,Never Used,Never Used,Used in Last Month,Used in Last Week,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Never Used
293,45-54,Female,Professional certificate/ diploma,UK,White,35,39,42,39,45,-0.71126,-0.52593,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Year,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
295,25-34,Female,Professional certificate/ diploma,UK,White,47,40,45,38,39,0.19268,-0.21575,Used in Last Year,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Year,Used in Last Year,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used over a Decade Ago
296,18-24,Female,Left school at 17 years,UK,White,32,43,45,39,41,-0.71126,-0.84637,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
297,35-44,Male,Professional certificate/ diploma,UK,White,49,37,47,43,42,-0.71126,-0.52593,Used in Last Week,Never Used,Used over a Decade Ago,Used in Last Month,Used in Last Week,Used in Last Decade,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
298,65+,Female,Left school at 16 years,UK,White,44,34,47,42,49,-0.21712,-0.52593,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
300,35-44,Female,University degree,UK,White,37,38,36,53,45,-0.21712,-1.54858,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
301,35-44,Female,Professional certificate/ diploma,USA,White,44,33,45,46,46,-0.71126,-0.84637,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
302,25-34,Female,"Some college or university, no certificate or degree",USA,White,33,37,35,44,46,-1.37983,-1.54858,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
303,35-44,Female,Doctorate degree,UK,White,41,37,41,47,48,-0.71126,-0.84637,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
304,55-64,Female,Professional certificate/ diploma,UK,White,34,44,46,38,39,-0.21712,0.07987,Used in Last Day,Never Used,Never Used,Used over a Decade Ago,Used in Last Day,Used in Last Decade,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Used over a Decade Ago,Never Used,Never Used
305,45-54,Female,University degree,UK,White,32,40,37,42,48,-0.21712,-1.18084,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
306,45-54,Female,University degree,UK,White,26,22,37,53,43,-0.71126,-1.54858,Used in Last Month,Used over a Decade Ago,Used in Last Decade,Never Used,Used in Last Day,Never Used,Used in Last Month,Used over a Decade Ago,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used
307,35-44,Male,Masters degree,UK,White,38,31,40,36,47,-1.37983,-0.84637,Used in Last Week,Never Used,Used over a Decade Ago,Never Used,Used in Last Day,Used in Last Decade,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
308,45-54,Male,Masters degree,UK,White,31,36,41,50,47,-0.71126,-0.52593,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Decade,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
309,35-44,Female,Left school at 18 years,UK,White,21,45,45,43,52,0.19268,0.07987,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
310,35-44,Male,Masters degree,UK,White,28,41,45,47,45,-1.37983,-2.07848,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
311,45-54,Female,University degree,UK,White,24,39,40,44,46,-1.37983,-1.54858,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Used in Last Month,Never Used,Used over a Decade Ago
312,18-24,Female,Left school at 16 years,UK,White,47,36,32,41,41,1.86203,0.7654,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Day,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
313,45-54,Female,Masters degree,UK,White,32,40,43,45,43,-1.37983,-0.52593,Used in Last Day,Never Used,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
314,25-34,Female,Masters degree,UK,White,36,51,48,47,50,0.19268,-0.52593,Used in Last Week,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Day,Never Used,Used in Last Week,Used over a Decade Ago,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Week,Never Used,Never Used
315,18-24,Female,Left school at 18 years,Republic of Ireland,White,30,41,41,44,41,-0.71126,-1.18084,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Never Used
316,45-54,Female,Doctorate degree,UK,White,28,45,50,43,45,-0.71126,-0.52593,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
317,55-64,Female,University degree,UK,White,31,45,53,40,36,1.86203,0.40148,Used in Last Week,Used over a Decade Ago,Never Used,Never Used,Used in Last Day,Used in Last Year,Used in Last Day,Used over a Decade Ago,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used,Used in Last Day,Never Used,Never Used
318,35-44,Male,University degree,UK,Black,28,52,39,43,49,-0.71126,-0.52593,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Decade,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Never Used
319,25-34,Female,Professional certificate/ diploma,UK,White,36,40,41,45,48,-1.37983,-1.18084,Used in Last Decade,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
320,45-54,Female,Left school at 16 years,UK,Other,39,38,37,42,46,0.88113,0.40148,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
321,45-54,Female,University degree,UK,White,43,38,42,36,41,-1.37983,-1.18084,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
322,35-44,Female,"Some college or university, no certificate or degree",UK,White,41,38,39,54,52,-1.37983,-2.07848,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
323,18-24,Female,University degree,UK,White,28,43,49,49,43,-0.21712,0.40148,Used in Last Week,Never Used,Used in Last Decade,Never Used,Used in Last Day,Used in Last Decade,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
324,45-54,Male,Left school at 17 years,UK,White,45,32,34,45,36,-0.71126,0.07987,Used in Last Day,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Day,Used in Last Decade,Used in Last Week,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used
325,25-34,Female,Doctorate degree,UK,White,38,40,55,37,48,0.19268,-0.52593,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
326,35-44,Female,Professional certificate/ diploma,UK,White,28,48,45,49,55,0.19268,-0.52593,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
327,35-44,Male,Left school at 18 years,UK,White,30,28,32,49,45,0.52975,0.07987,Used in Last Day,Used in Last Year,Used in Last Decade,Never Used,Used in Last Month,Used in Last Month,Used in Last Week,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
328,45-54,Male,Masters degree,UK,White,20,50,46,53,50,-1.37983,-0.84637,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
329,25-34,Female,Professional certificate/ diploma,UK,White,38,38,37,50,38,-1.37983,-2.07848,Used in Last Week,Never Used,Never Used,Used in Last Decade,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
330,45-54,Male,Professional certificate/ diploma,UK,White,32,43,39,46,41,0.52975,-0.21575,Used in Last Month,Never Used,Never Used,Used over a Decade Ago,Used in Last Day,Used over a Decade Ago,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
331,45-54,Female,Professional certificate/ diploma,UK,White,26,43,41,48,47,-0.21712,-0.21575,Used over a Decade Ago,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
332,35-44,Male,Left school before 16 years,UK,White,33,37,39,40,46,-1.37983,-0.84637,Used in Last Day,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Day,Used in Last Decade,Used in Last Day,Used in Last Day,Used in Last Decade,Used in Last Year,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Day,Never Used,Never Used
333,55-64,Female,Left school at 18 years,Canada,White,31,37,35,49,47,-1.37983,-1.54858,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Never Used
334,18-24,Female,"Some college or university, no certificate or degree",UK,White,59,26,40,46,28,0.19268,-0.52593,Used in Last Day,Never Used,Used in Last Year,Never Used,Used in Last Day,Used in Last Week,Used in Last Day,Used in Last Year,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Year
335,65+,Male,"Some college or university, no certificate or degree",Canada,White,24,37,39,44,43,1.29221,-0.21575,Used in Last Month,Never Used,Never Used,Used in Last Week,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
336,65+,Female,Left school at 16 years,Canada,White,34,39,36,34,42,-0.21712,0.7654,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
337,25-34,Female,Masters degree,UK,White,40,36,50,46,34,1.86203,0.7654,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Year,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Never Used
338,45-54,Female,Masters degree,UK,Black,42,41,45,43,50,-0.21712,-0.84637,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Never Used
339,45-54,Female,Professional certificate/ diploma,Canada,White,30,42,53,31,45,1.86203,0.40148,Used in Last Week,Used over a Decade Ago,Used over a Decade Ago,Used in Last Decade,Used in Last Day,Used in Last Decade,Used in Last Day,Used in Last Year,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used in Last Decade,Used in Last Day,Never Used,Never Used
340,35-44,Male,Doctorate degree,UK,White,20,48,48,48,51,-0.21712,0.40148,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
341,45-54,Female,Professional certificate/ diploma,UK,White,34,38,42,49,47,-1.37983,-0.21575,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
342,35-44,Female,Masters degree,UK,White,31,47,52,45,45,-2.55524,-0.21575,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Week,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Decade,Used in Last Day,Never Used,Never Used
343,55-64,Female,Professional certificate/ diploma,UK,White,21,46,44,49,53,-2.55524,-1.54858,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
344,55-64,Female,Professional certificate/ diploma,UK,White,42,40,46,42,46,0.19268,-0.52593,Used over a Decade Ago,Never Used,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
345,18-24,Female,Left school before 16 years,UK,White,38,39,46,42,39,0.88113,-0.84637,Used in Last Week,Used in Last Decade,Used in Last Year,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Week,Used in Last Month,Used in Last Decade,Used in Last Year,Used in Last Year,Never Used,Used in Last Year,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Day,Never Used,Never Used
346,35-44,Female,Masters degree,UK,White,20,41,55,54,49,-0.71126,-0.84637,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Used over a Decade Ago,Used in Last Week,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Never Used,Used over a Decade Ago
347,35-44,Female,University degree,UK,White,36,43,45,49,44,0.19268,-0.21575,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Day,Used in Last Decade,Used in Last Day,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Never Used,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Day,Never Used,Used over a Decade Ago
348,45-54,Female,University degree,UK,White,34,51,56,57,44,1.86203,1.2247,Used in Last Day,Used over a Decade Ago,Never Used,Never Used,Used in Last Day,Used in Last Year,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Month,Used over a Decade Ago,Never Used,Never Used,Used in Last Day,Never Used,Never Used
349,45-54,Male,Masters degree,UK,White,27,45,46,43,45,-1.37983,-1.54858,Used in Last Decade,Used in Last Decade,Used over a Decade Ago,Used in Last Decade,Used in Last Day,Used over a Decade Ago,Used in Last Day,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Decade,Never Used,Never Used,Used over a Decade Ago,Used in Last Decade,Used over a Decade Ago,Never Used,Never Used,Never Used
350,45-54,Male,Professional certificate/ diploma,UK,Black,30,42,43,42,44,-0.21712,-1.18084,Used in Last Day,Never Used,Never Used,Used in Last Month,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
351,45-54,Male,University degree,UK,White,41,35,42,44,41,-0.21712,0.40148,Used in Last Week,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Used in Last Year,Used in Last Week,Used in Last Decade,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Used over a Decade Ago
352,35-44,Female,"Some college or university, no certificate or degree",UK,White,46,36,52,51,37,0.88113,-0.21575,Used in Last Month,Used in Last Decade,Used over a Decade Ago,Used in Last Month,Used in Last Day,Used in Last Decade,Used in Last Week,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Decade,Never Used,Used over a Decade Ago,Used in Last Decade,Used over a Decade Ago,Used in Last Day,Never Used,Used over a Decade Ago
353,35-44,Male,Professional certificate/ diploma,UK,White,40,41,46,40,38,-0.21712,0.40148,Used in Last Week,Used in Last Decade,Used over a Decade Ago,Used in Last Month,Used in Last Week,Used in Last Month,Used in Last Month,Used in Last Decade,Used in Last Decade,Used over a Decade Ago,Used in Last Decade,Never Used,Used over a Decade Ago,Used in Last Decade,Used in Last Year,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Week
354,45-54,Male,University degree,UK,White,34,35,49,48,31,0.19268,-0.21575,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Used over a Decade Ago,Used in Last Week,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used over a Decade Ago
355,25-34,Male,Left school at 16 years,UK,White,31,40,45,39,45,0.52975,-0.84637,Used in Last Decade,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Week,Used in Last Decade,Used in Last Week,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Decade,Never Used,Never Used
356,35-44,Male,Professional certificate/ diploma,UK,White,38,39,46,45,40,-0.71126,0.40148,Used in Last Decade,Used over a Decade Ago,Used over a Decade Ago,Used in Last Decade,Used in Last Day,Used over a Decade Ago,Used in Last Week,Used in Last Decade,Used in Last Decade,Used over a Decade Ago,Used in Last Decade,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Decade,Used over a Decade Ago,Used in Last Year,Never Used,Never Used
357,25-34,Male,Left school before 16 years,UK,White,42,40,54,54,48,1.86203,1.92173,Used in Last Day,Used over a Decade Ago,Used in Last Decade,Used in Last Year,Used in Last Day,Used in Last Year,Used in Last Day,Used in Last Decade,Used in Last Year,Used in Last Year,Used in Last Decade,Used in Last Year,Never Used,Used over a Decade Ago,Used in Last Year,Used over a Decade Ago,Used in Last Day,Never Used,Used over a Decade Ago
358,45-54,Male,University degree,UK,White,25,39,37,52,45,-0.71126,0.07987,Used in Last Day,Never Used,Never Used,Used over a Decade Ago,Used in Last Day,Used over a Decade Ago,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
359,35-44,Male,Left school at 16 years,UK,White,57,31,39,31,29,1.86203,1.92173,Used in Last Year,Used in Last Year,Used over a Decade Ago,Used over a Decade Ago,Used in Last Week,Used in Last Year,Used in Last Week,Used in Last Year,Never Used,Used in Last Year,Used over a Decade Ago,Used over a Decade Ago,Used in Last Year,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Used over a Decade Ago
360,35-44,Male,"Some college or university, no certificate or degree",UK,White,40,34,52,44,39,0.52975,-0.21575,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Day,Used in Last Decade,Used in Last Day,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Decade,Never Used,Used over a Decade Ago
361,25-34,Female,"Some college or university, no certificate or degree",UK,White,30,50,50,44,45,1.29221,1.92173,Used in Last Week,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Day,Used in Last Decade,Used in Last Week,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Year,Never Used,Used in Last Decade
362,45-54,Female,University degree,UK,White,41,45,46,44,41,-0.21712,0.07987,Used in Last Decade,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Used in Last Decade,Used in Last Week,Used over a Decade Ago,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Decade,Never Used,Never Used
363,35-44,Female,Professional certificate/ diploma,UK,White,42,44,53,49,50,0.88113,0.40148,Used in Last Week,Used in Last Week,Used in Last Decade,Used in Last Month,Used in Last Day,Used in Last Year,Used in Last Month,Used in Last Year,Used in Last Decade,Used in Last Year,Used in Last Decade,Used in Last Decade,Never Used,Used over a Decade Ago,Used in Last Decade,Used over a Decade Ago,Used in Last Day,Never Used,Used in Last Decade
364,45-54,Male,University degree,UK,White,40,42,45,47,45,-0.71126,-0.52593,Used in Last Decade,Used over a Decade Ago,Used over a Decade Ago,Used in Last Decade,Used in Last Day,Used in Last Decade,Used in Last Week,Used over a Decade Ago,Used in Last Decade,Used over a Decade Ago,Used in Last Decade,Never Used,Never Used,Used over a Decade Ago,Used in Last Decade,Used over a Decade Ago,Used in Last Day,Never Used,Used over a Decade Ago
365,45-54,Female,Professional certificate/ diploma,UK,White,48,39,37,48,45,-1.37983,-2.07848,Used in Last Week,Never Used,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
366,35-44,Female,Doctorate degree,UK,White,40,39,47,43,38,-0.21712,-0.21575,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Week,Used over a Decade Ago,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
